split,model,n,base_rate,brier,log_loss,auc,ece,brier_skill_vs_ref,martingale_slope,martingale_p
0,prize_only,66456,0.5247080775249789,0.21934432498788212,0.6267774153889513,0.6876572277550299,0.021071275626299832,0.0,-0.006430669573241363,2.514351992119515e-16
0,gbdt,66456,0.5247080775249789,0.17984937857959746,0.5288282852938667,0.8030218662216008,0.014998144732598445,0.18005912124905255,-0.01653974414987204,4.253452573826975e-66
0,gbdt_filtered,66456,0.5247080775249789,0.1794330890060352,0.5277321172051161,0.8036817690536066,0.013405298142223382,0.1819570029179094,0.0006958362994583882,0.27593233903265196
0,gbdt_isotonic,66456,0.5247080775249789,0.1796311146287312,0.5285152010667726,0.8030646911139276,0.012548922353972099,0.18105419577800763,-0.008950007200915796,3.237999350372026e-25
0,gbdt_isotonic_filtered,66456,0.5247080775249789,0.1796894437617528,0.528827643775409,0.8032009390524903,0.016044084635883277,0.1807882708081009,0.00473462397640416,1.596020312644154e-16
1,prize_only,65234,0.5200662231351749,0.2133797409493556,0.6132822624076041,0.707548312468473,0.013429983067983514,0.0,-0.004799233228412197,1.1935013649524708e-10
1,gbdt,65234,0.5200662231351749,0.17738061189233634,0.5265793485117836,0.810459684249837,0.016618306351992115,0.1687092171771052,-0.013342926806555282,4.548188296074739e-49
1,gbdt_filtered,65234,0.5200662231351749,0.1770506626633125,0.5256036465536135,0.810918048052352,0.01390622677525557,0.17025551781256298,0.0014104934819937987,0.01952448351633803
1,gbdt_isotonic,65234,0.5200662231351749,0.17670850029117094,0.5247224382053584,0.811541644297996,0.01237474958347748,0.17185905510536903,-0.007160235571508473,2.931061430799596e-18
1,gbdt_isotonic_filtered,65234,0.5200662231351749,0.17680609692736338,0.5250972705218966,0.8116813352761907,0.014964344910000106,0.1714016703707254,0.0048574014041217264,9.49337278790481e-19
2,prize_only,65746,0.5271043105283971,0.2142392839399214,0.6134473877827337,0.6982732301813117,0.027698746572600574,0.0,-0.005870684856597327,1.3180808425901112e-13
2,gbdt,65746,0.5271043105283971,0.17929106498600783,0.5241619432151123,0.8021931376194262,0.01953379960273055,0.16312703399304684,-0.016253494273909673,1.6818769363976545e-63
2,gbdt_filtered,65746,0.5271043105283971,0.17885177115214668,0.5230349906315978,0.8028339710554356,0.015488410826431223,0.16517751617251653,0.0009484210430876153,0.13843035702715506
2,gbdt_isotonic,65746,0.5271043105283971,0.17690971233384056,0.5190449883708278,0.8072952941890514,0.018249684018816974,0.17424242146248525,-0.009735948320107008,1.5948088394022616e-28
2,gbdt_isotonic_filtered,65746,0.5271043105283971,0.1768844981638076,0.5192064206749787,0.8075682016572693,0.019942003688773625,0.17436011309013288,0.004498529503144586,1.0724054343932397e-14
3,prize_only,67124,0.5278737858292116,0.2135540382920908,0.6120641381157415,0.7011970195724179,0.026898380711831274,0.0,-0.005556012525587945,4.5370871610541665e-13
3,gbdt,67124,0.5278737858292116,0.18532621242933822,0.541360821016045,0.7903444511077733,0.021584006130795075,0.1321811850925697,-0.016633178386299078,3.89167075450594e-68
3,gbdt_filtered,67124,0.5278737858292116,0.18493192265487937,0.5402950748744612,0.7906805933098997,0.01717098138081404,0.1340275082883856,0.00026837461749921646,0.6722630014365883
3,gbdt_isotonic,67124,0.5278737858292116,0.18257134150480325,0.5340080945735686,0.7945637160544601,0.010275397612441594,0.14508129668290626,-0.010384560221520874,7.989881177583454e-33
3,gbdt_isotonic_filtered,67124,0.5278737858292116,0.18254194935182144,0.5341139766204079,0.7946000124642535,0.009164480605089346,0.14521893001083053,0.00362156731565116,4.051025627212457e-10
4,prize_only,67480,0.5196947243627742,0.2231931738605476,0.6391783516499726,0.6795934172657053,0.044357256951597715,0.0,-0.005620804785219273,4.830148476042346e-14
4,gbdt,67480,0.5196947243627742,0.187728030946048,0.5470317887505596,0.7849420345091368,0.038754374292614344,0.15889886908753947,-0.015655595002951543,8.787582793796235e-63
4,gbdt_filtered,67480,0.5196947243627742,0.18740195877153884,0.5459386483908178,0.7847883861559565,0.03622333481555672,0.16035981060680338,0.0008383072014282265,0.17704980623701397
4,gbdt_isotonic,67480,0.5196947243627742,0.18503635229655144,0.5421665828703747,0.7884539291857527,0.02851530645289194,0.17095873007225915,-0.010165916276478452,2.9509400018461635e-32
4,gbdt_isotonic_filtered,67480,0.5196947243627742,0.18500547039144513,0.5403156356612645,0.788048974187894,0.028309098473809947,0.1710970940937574,0.003666405387111614,1.5232223085014274e-10
