model,n,base_rate,brier,log_loss,auc,ece,brier_skill_vs_ref
base_rate,65302.0,0.523506171327065,0.24944811704988074,0.6920430100108006,0.5,0.0008106419296276535,-0.16476191142310692
prize_only,65302.0,0.523506171327065,0.21416232330700516,0.6151256770272581,0.702510154685866,0.01899601116723629,0.0
logistic,65302.0,0.523506171327065,0.19975789469812674,0.579110026837843,0.7530733599281629,0.010883253801208893,0.06725939645429335
gbdt,65302.0,0.523506171327065,0.17523192138753518,0.5153384542202974,0.81304043098181,0.009516159233568532,0.18177988227958575
gbdt_isotonic,65302.0,0.523506171327065,0.17556470035225835,0.5182619531032827,0.8138259863031461,0.02472665162246265,0.18022601902490798
gbdt_filtered,65302.0,0.523506171327065,0.17468838310040014,0.514135443444753,0.8143732752180706,0.008923083005381905,0.18431785571367043
