filter,q,n,base_rate,brier,log_loss,auc,ece,brier_skill_vs_ref,mean_abs_step,mean_max_swing,martingale_slope,martingale_p
pass-through (no smoothing),1000000.0,66456,0.5247080775249789,0.17963111375074986,0.5285151997675194,0.8030650828866746,0.012548929218135012,0.18105419978076132,0.03195024047933541,0.2588687919216213,-0.008949960846408327,3.239473199844681e-25
tuned (q=5),5.0,66456,0.5247080775249789,0.1795543707773328,0.528366307612853,0.8033258614447152,0.013952857322255997,0.1814040742232449,0.027492111245367035,0.22427341890839309,-0.0026809454916214568,0.0003182551455000273
moderate (q=0.5),0.5,66456,0.5247080775249789,0.17994109437229786,0.5295568047626649,0.8027497593934257,0.017094473459868018,0.1796409850939209,0.018950149859534943,0.1394898869175977,0.00758064160094633,3.5836986182888316e-53
heavy (q=0.05),0.05,66456,0.5247080775249789,0.18248570358709237,0.536660474363407,0.7979615383029995,0.026881393264198656,0.16804000469502023,0.01195504495827143,0.06377448630249996,0.01344091055828912,0.0
