model,n_splits,brier_mean,brier_sd,log_loss_mean,log_loss_sd,auc_mean,ece_mean,ece_sd,skill_mean,skill_sd,martingale_slope_mean,martingale_slope_sd,martingale_p_min,martingale_p_max
prize_only,5,0.2167421124059595,0.004362373577265706,0.6209499110690005,0.011835048640009237,0.6948538414485876,0.026691128586062585,0.011408232407115249,0.0,0.0,-0.005655480993811621,0.0005898064698697364,2.514351992119515e-16,1.1935013649524708e-10
gbdt,5,0.18191505976666558,0.004391474732960583,0.5335924373574734,0.010022209466298138,0.7981922347415548,0.022297726222146104,0.009546067939544597,0.16059508531986275,0.017757572118440822,-0.015684987723917524,0.001363725325166649,3.89167075450594e-68,4.548188296074739e-49
gbdt_filtered,5,0.1815338808495825,0.0044070202720600405,0.5325208955311214,0.010015451553743858,0.7985805535254501,0.01923885038805619,0.00960835309516129,0.16235547115963558,0.017755638991041833,0.000832286528693449,0.00041366111233220046,0.01952448351633803,0.6722630014365883
gbdt_isotonic,5,0.18017140421101946,0.0036176535621000806,0.5296914610173804,0.0088555652769467,0.8009838549682377,0.016392812004320016,0.007395030720654227,0.16863913982020545,0.01375000642055047,-0.00927933351810612,0.0013052857983272238,7.989881177583454e-33,2.931061430799596e-18
gbdt_isotonic_filtered,5,0.1801854917192381,0.0035828765734797533,0.5295121894507913,0.008124959648637454,0.8010198925276196,0.01768480246271126,0.0070827140268972626,0.16857321567470943,0.013624321365851937,0.00427570551728665,0.0005911366637723213,9.49337278790481e-19,4.051025627212457e-10
