feature_set,n_features,n,base_rate,brier,log_loss,auc,ece,brier_skill_vs_ref
core,67,66456,0.5247080775249789,0.1826623564955322,0.5357425328992675,0.7961232012069833,0.017643361496709788,0.16723463665803273
core+decision,80,66456,0.5247080775249789,0.18113812170320517,0.5318869469447146,0.7999022515647349,0.016252317393169752,0.17418368716303778
core+decision+trajectory,92,66456,0.5247080775249789,0.181146948224619,0.5319456953802855,0.7999240927818827,0.0163071495013689,0.17414344668079917
all (incl. clock),93,66456,0.5247080775249789,0.17984937857959746,0.5288282852938667,0.8030218662216008,0.014998144732598445,0.18005912124905255
