family,n_features,brier_increase,brier_increase_sd
prizes,4,0.045041622491283934,0.00025011617643577944
hit_points,14,0.029185987857307343,0.0004111608736659006
card_economy,9,0.019117329264658117,0.00026701193497396397
energy_and_evolution,9,0.01771056291486195,0.0001321173936922677
tempo_and_turn,8,0.003116407455089417,0.00016072436700115728
board_presence,11,0.002899711500590124,4.3399502272888255e-05
decision_menu,13,0.00236305610168,0.00015425781244368919
clock,1,0.0022930318660308404,0.00012377326908269583
status_conditions,12,3.4958175555895496e-06,6.291852283933529e-06
