bucket,episodes,decision_points,score_lo,score_hi,brier_model,brier_prize_only,brier_skill
Q1,226,37903,1052.676671,1074.71267,0.16968465674097308,0.2005921305972596,0.15408118835100892
Q2,226,38290,1074.796443,1099.504556,0.1687558693597372,0.19865711360506738,0.15051685642012402
Q3,225,37202,1099.514606,1137.559761,0.1708535293553192,0.2036904249763621,0.161209814476324
Q4,226,35276,1138.408961,1277.424474,0.1732353174513787,0.21997260133478808,0.21246866018680843
