turn_bucket,n,base_rate,brier,log_loss,auc,ece
"[0, 2)",3377,0.5504885993485342,0.23875844392685075,0.670136991473412,0.6201539921515598,0.037832002228898584
"[2, 4)",9739,0.5277749255570388,0.23036713780310206,0.6524096599208083,0.6617685243704645,0.030457261452109922
"[4, 6)",11759,0.5166255633982482,0.21954535502233746,0.6274163068634556,0.696170986061517,0.013605728444407793
"[6, 8)",12143,0.5174997941200692,0.18764469481706716,0.5522095663331235,0.7877333548880334,0.02955662011592641
"[8, 11)",15903,0.5165063195623467,0.14418330093562176,0.43925802001569203,0.8762801776373288,0.0303972924984681
"[11, 15)",9942,0.555622611144639,0.1213221248023317,0.38571981622848944,0.9076105698201912,0.015353227099623999
"[15, 200)",3593,0.4937378235457835,0.14564360861056347,0.44325778427542567,0.8745470119055219,0.03963438247184449
