calibration,n,base_rate,brier,log_loss,auc,ece,brier_skill_vs_ref
none,66456,0.5247080775249789,0.18165107569124295,0.5336190039229485,0.7990041390994994,0.01702814003162692,0.17184510836431066
"isotonic (4-fold, cross-fitted)",66456,0.5247080775249789,0.17994077925883664,0.5292400057525015,0.802153272448247,0.012135015517496161,0.17964242170943956
isotonic (single held-out map),66456,0.5247080775249789,0.1815203189066299,0.5555137038815222,0.7990149071754626,0.01554594455986584,0.17244123404305922
